commodity,timestamp,open,high,low,close
XAU/USD,2025-10-17 17:00:00,4423.07,4424.88,4389.0,4411.22
XAU/USD,2025-10-17 17:15:00,4411.21,4421.18,4406.58,4415.23
XAU/USD,2025-10-17 17:30:00,4415.23,4416.54,4398.38,4413.55
XAU/USD,2025-10-17 17:45:00,4413.54,4414.32,4400.73,4407.99
XAU/USD,2025-10-17 18:00:00,4407.99,4419.35,4404.0,4410.37
XAU/USD,2025-10-17 18:15:00,4410.92,4413.82,4385.0,4393.11
XAU/USD,2025-10-17 18:30:00,4393.09,4401.44,4381.17,4382.47
XAU/USD,2025-10-17 18:45:00,4382.47,4393.41,4351.0,4382.34
XAU/USD,2025-10-17 19:00:00,4382.35,4391.99,4368.16,4380.05
XAU/USD,2025-10-17 19:15:00,4380.04,4399.23,4379.56,4388.6
XAU/USD,2025-10-17 19:30:00,4388.6,4389.64,4379.05,4385.93
XAU/USD,2025-10-17 23:15:00,4346.49,4346.5,4318.0,4322.92
XAU/USD,2025-10-17 23:30:00,4322.91,4339.88,4320.68,4339.85
XAU/USD,2025-10-17 23:45:00,4339.84,4347.67,4338.96,4344.35
XAU/USD,2025-10-18 00:00:00,4344.35,4344.35,4327.19,4340.67
XAU/USD,2025-10-18 00:15:00,4340.67,4343.16,4334.35,4343.09
XAU/USD,2025-10-18 00:30:00,4343.09,4344.36,4287.26,4309.1
XAU/USD,2025-10-18 00:45:00,4309.02,4310.0,4262.81,4294.03
XAU/USD,2025-10-18 01:00:00,4294.03,4294.03,4230.0,4235.03
XAU/USD,2025-10-18 01:15:00,4235.03,4253.54,4225.0,4252.3
XAU/USD,2025-10-18 01:30:00,4252.27,4274.12,4241.33,4268.17
XAU/USD,2025-10-18 01:45:00,4267.91,4273.86,4255.69,4261.6
XAU/USD,2025-10-18 02:00:00,4261.59,4273.1,4252.55,4254.7
XAU/USD,2025-10-18 02:15:00,4254.71,4260.49,4244.55,4260.49
XAU/USD,2025-10-18 02:30:00,4260.1,4279.94,4258.43,4269.5
XAU/USD,2025-10-18 02:45:00,4269.5,4279.33,4252.57,4253.1
XAU/USD,2025-10-18 03:00:00,4253.11,4260.63,4241.9,4247.21
XAU/USD,2025-10-18 03:15:00,4247.22,4255.0,4231.91,4233.9
XAU/USD,2025-10-18 03:30:00,4232.53,4235.88,4214.48,4217.61
XAU/USD,2025-10-18 03:45:00,4217.62,4230.0,4208.0,4210.6
XAU/USD,2025-10-18 04:00:00,4210.6,4215.49,4192.55,4212.21
XAU/USD,2025-10-18 04:15:00,4212.29,4220.97,4205.04,4207.5
XAU/USD,2025-10-18 04:30:00,4207.5,4243.18,4203.0,4227.56
XAU/USD,2025-10-18 04:45:00,4227.56,4231.44,4222.56,4226.5
XAU/USD,2025-10-18 05:00:00,4226.5,4249.0,4225.18,4240.47
XAU/USD,2025-10-18 05:15:00,4240.8,4256.99,4235.89,4256.07
XAU/USD,2025-10-18 05:30:00,4256.06,4257.36,4247.64,4251.01
XAU/USD,2025-10-18 05:45:00,4251.0,4257.28,4246.64,4251.02
XAU/USD,2025-10-18 06:00:00,4251.02,4252.3,4238.0,4238.01
XAU/USD,2025-10-18 06:15:00,4238.0,4238.99,4225.64,4230.47
XAU/USD,2025-10-18 06:30:00,4230.46,4242.24,4229.01,4234.91
XAU/USD,2025-10-18 06:45:00,4234.9,4240.63,4230.49,4236.8
XAU/USD,2025-10-18 07:00:00,4236.81,4244.28,4231.4,4242.89
XAU/USD,2025-10-18 07:15:00,4242.88,4254.96,4241.29,4254.96
XAU/USD,2025-10-18 07:30:00,4254.96,4259.58,4251.61,4256.16
XAU/USD,2025-10-18 07:45:00,4256.16,4262.7,4255.0,4262.51
XAU/USD,2025-10-18 08:00:00,4262.51,4272.15,4262.39,4270.85
XAU/USD,2025-10-18 08:15:00,4270.85,4271.76,4254.52,4257.51
XAU/USD,2025-10-18 08:30:00,4257.51,4267.04,4255.0,4260.96
XAU/USD,2025-10-18 08:45:00,4260.96,4271.59,4260.73,4265.22
XAU/USD,2025-10-18 09:00:00,4265.22,4269.0,4261.92,4263.36
XAU/USD,2025-10-18 09:15:00,4263.12,4267.2,4260.01,4260.81
XAU/USD,2025-10-18 09:30:00,4260.82,4268.16,4254.87,4266.99
XAU/USD,2025-10-18 09:45:00,4266.84,4272.6,4262.56,4265.02
XAU/USD,2025-10-18 10:00:00,4265.03,4272.31,4260.13,4272.31
XAU/USD,2025-10-18 10:15:00,4272.31,4273.28,4261.8,4261.99
XAU/USD,2025-10-18 10:30:00,4262.0,4263.2,4188.0,4240.0
XAU/USD,2025-10-18 10:45:00,4240.0,4244.97,4237.1,4238.93
XAU/USD,2025-10-18 11:00:00,4238.93,4259.28,4238.64,4249.45
XAU/USD,2025-10-18 11:15:00,4249.45,4254.1,4242.26,4245.42
XAU/USD,2025-10-18 11:30:00,4245.41,4247.34,4243.25,4244.44
XAU/USD,2025-10-18 11:45:00,4244.63,4245.6,4241.83,4242.7
