crypto,timestamp,open,high,low,close
BTC/USD,2025-10-14 20:15:00,112615.31,112962.6,112554.44,112848.94
BTC/USD,2025-10-14 20:30:00,112848.94,112943.66,112749.88,112931.16
BTC/USD,2025-10-14 20:45:00,112927.82,113051.68,112844.98,113048.24
BTC/USD,2025-10-14 21:00:00,113048.24,113054.39,112742.03,112806.5
BTC/USD,2025-10-14 21:15:00,112806.5,113057.0,112768.23,113027.38
BTC/USD,2025-10-14 21:30:00,113027.38,113211.99,112908.78,113128.3
BTC/USD,2025-10-14 21:45:00,113128.29,113240.94,113021.03,113175.34
BTC/USD,2025-10-14 22:00:00,113175.34,113639.19,113175.34,113492.03
BTC/USD,2025-10-14 22:15:00,113492.03,113503.11,113200.0,113235.19
BTC/USD,2025-10-14 22:30:00,113235.18,113249.64,112942.49,113003.54
BTC/USD,2025-10-14 22:45:00,113003.54,113299.99,112835.28,113264.91
BTC/USD,2025-10-14 23:00:00,113264.92,113557.26,113168.21,113495.72
BTC/USD,2025-10-14 23:15:00,113495.73,113572.39,113388.0,113485.79
BTC/USD,2025-10-14 23:30:00,113485.79,113532.66,113306.55,113323.27
BTC/USD,2025-10-14 23:45:00,113323.27,113362.81,113043.04,113068.0
BTC/USD,2025-10-15 00:00:00,113072.18,113101.99,112814.74,112838.89
BTC/USD,2025-10-15 00:15:00,112838.88,113087.9,112694.17,112878.8
BTC/USD,2025-10-15 00:30:00,112878.79,113078.99,112644.5,112986.58
BTC/USD,2025-10-15 00:45:00,112987.66,113172.83,112858.84,113041.4
BTC/USD,2025-10-15 01:00:00,113041.41,113066.56,112458.77,112776.32
BTC/USD,2025-10-15 01:15:00,112783.44,112924.0,112535.25,112537.15
BTC/USD,2025-10-15 01:30:00,112537.15,112584.8,112372.0,112559.47
BTC/USD,2025-10-15 01:45:00,112559.47,112825.94,112473.21,112784.28
BTC/USD,2025-10-15 02:00:00,112781.98,113048.99,112714.13,113009.12
BTC/USD,2025-10-15 02:15:00,113011.94,113600.0,112914.73,113600.0
BTC/USD,2025-10-15 02:30:00,113600.0,113671.99,113033.49,113085.97
BTC/USD,2025-10-15 02:45:00,113085.97,113148.25,112850.66,112860.93
BTC/USD,2025-10-15 03:00:00,112860.93,112924.9,112386.67,112526.45
BTC/USD,2025-10-15 03:15:00,112526.44,112550.11,111995.43,112311.27
BTC/USD,2025-10-15 03:30:00,112311.28,112319.9,111915.73,112080.34
BTC/USD,2025-10-15 03:45:00,112080.33,112193.88,111868.2,112073.9
BTC/USD,2025-10-15 04:00:00,112075.4,112169.99,111793.73,112069.99
BTC/USD,2025-10-15 04:15:00,112069.98,112389.8,112003.26,112235.52
BTC/USD,2025-10-15 04:30:00,112241.62,112319.91,112129.68,112261.56
BTC/USD,2025-10-15 04:45:00,112255.05,112524.5,112205.14,112389.78
BTC/USD,2025-10-15 05:00:00,112389.78,112584.37,112364.09,112547.72
BTC/USD,2025-10-15 05:15:00,112545.04,112626.69,112272.0,112364.89
BTC/USD,2025-10-15 05:30:00,112369.81,112709.13,112235.0,112609.76
BTC/USD,2025-10-15 05:45:00,112609.76,112609.76,112405.21,112486.5
BTC/USD,2025-10-15 06:00:00,112486.3,112553.26,112202.04,112291.49
BTC/USD,2025-10-15 06:15:00,112291.48,112310.06,111944.27,112055.19
BTC/USD,2025-10-15 06:30:00,112004.18,112628.68,111960.9,112376.01
BTC/USD,2025-10-15 06:45:00,112376.01,112565.29,112353.61,112515.72
BTC/USD,2025-10-15 07:00:00,112514.69,112675.59,112273.93,112549.18
BTC/USD,2025-10-15 07:15:00,112549.18,112755.54,112414.73,112414.73
BTC/USD,2025-10-15 07:30:00,112414.72,112550.42,112386.57,112492.18
