symbol,timestamp,open,high,low,close,volume
EWJ,2025-10-10 18:30:00,78.36,78.36,77.62,77.98,363465.0
EWJ,2025-10-10 18:45:00,77.63,77.8,77.62,77.77,272.0
EWJ,2025-10-10 19:00:00,77.75,78.03,77.62,78.03,253.0
EWJ,2025-10-10 19:15:00,77.63,77.64,77.63,77.64,18.0
EWJ,2025-10-10 19:30:00,77.97,78.02,77.97,77.97,40.0
EWJ,2025-10-10 19:45:00,78.02,78.15,77.62,77.62,155.0
EWJ,2025-10-10 20:00:00,78.36,78.36,78.36,78.36,362163.0
EWJ,2025-10-13 04:00:00,79.68,79.68,78.9,79.05,670.0
EWJ,2025-10-13 04:15:00,79.05,79.05,78.93,78.93,55.0
EWJ,2025-10-13 04:30:00,78.9,78.93,78.9,78.93,12.0
EWJ,2025-10-13 04:45:00,78.87,78.87,78.87,78.87,267.0
EWJ,2025-10-13 05:00:00,78.99,78.99,78.91,78.91,375.0
EWJ,2025-10-13 05:15:00,78.94,78.97,78.9,78.95,811.0
EWJ,2025-10-13 05:30:00,78.98,79.03,78.94,79.03,597.0
EWJ,2025-10-13 05:45:00,78.97,79.04,78.91,78.91,207.0
EWJ,2025-10-13 06:00:00,79.0,79.0,79.0,79.0,10.0
EWJ,2025-10-13 06:15:00,78.98,78.98,78.95,78.96,94.0
EWJ,2025-10-13 06:45:00,78.97,79.0,78.8,78.8,302.0
EWJ,2025-10-13 07:00:00,78.97,78.97,78.89,78.89,52.0
EWJ,2025-10-13 07:15:00,78.8,78.8,78.8,78.8,25.0
EWJ,2025-10-13 07:30:00,78.96,78.96,78.96,78.96,2.0
EWJ,2025-10-13 07:45:00,79.0,79.0,79.0,79.0,2.0
EWJ,2025-10-13 08:00:00,79.0245,79.16,78.35,78.8,3342.0
EWJ,2025-10-13 08:15:00,78.97,79.0,78.97,78.99,81.0
EWJ,2025-10-13 08:30:00,79.0,79.09,78.99,79.09,1211.0
EWJ,2025-10-13 08:45:00,79.14,79.14,79.0,79.01,1938.0
EWJ,2025-10-13 09:00:00,79.02,79.05,78.96,78.99,5479.0
EWJ,2025-10-13 09:15:00,78.98,79.07,78.96,79.0,3504.0
EWJ,2025-10-13 09:30:00,79.02,79.1,78.84,78.97,592096.0
EWJ,2025-10-13 09:45:00,78.965,79.28,78.95,79.24,293066.0
EWJ,2025-10-13 10:00:00,79.25,79.28,79.14,79.14,270994.0
EWJ,2025-10-13 10:15:00,79.14,79.18,79.005,79.04,328211.0
EWJ,2025-10-13 10:30:00,79.04,79.17,78.98,79.13,142429.0
EWJ,2025-10-13 10:45:00,79.125,79.17,79.015,79.0335,160251.0
EWJ,2025-10-13 11:00:00,79.04,79.24,79.025,79.23,191042.0
EWJ,2025-10-13 11:15:00,79.23,79.36,79.23,79.29,297211.0
EWJ,2025-10-13 11:30:00,79.29,79.36,79.24,79.25,884676.0
EWJ,2025-10-13 11:45:00,79.255,79.35,79.255,79.325,120191.0
EWJ,2025-10-13 12:00:00,79.33,79.375,79.315,79.35,92639.0
EWJ,2025-10-13 12:15:00,79.35,79.4,79.285,79.36,257675.0
EWJ,2025-10-13 12:30:00,79.365,79.39,79.315,79.3308,71833.0
EWJ,2025-10-13 12:45:00,79.32,79.44,79.31,79.415,114968.0
