bond,timestamp,yield
US2Y,2025-10-17 13:30:00,3.4574
US2Y,2025-10-17 13:45:00,3.4594
US2Y,2025-10-17 14:00:00,3.4615
US2Y,2025-10-17 14:15:00,3.4574
US2Y,2025-10-17 14:30:00,3.4574
US2Y,2025-10-17 14:45:00,3.4636
US2Y,2025-10-17 15:00:00,3.4615
US2Y,2025-10-17 15:15:00,3.4615
US2Y,2025-10-17 15:30:00,3.4615
US2Y,2025-10-17 15:45:00,3.4574
US2Y,2025-10-20 09:30:00,3.4635
US2Y,2025-10-20 09:45:00,3.4677
US2Y,2025-10-20 10:00:00,3.4656
US2Y,2025-10-20 10:15:00,3.4656
US2Y,2025-10-20 10:30:00,3.4614
US2Y,2025-10-20 10:45:00,3.4677
US2Y,2025-10-20 11:00:00,3.4698
US2Y,2025-10-20 11:15:00,3.4677
US2Y,2025-10-20 11:30:00,3.4698
US2Y,2025-10-20 11:45:00,3.4677
US2Y,2025-10-20 12:00:00,3.4635
US2Y,2025-10-20 12:15:00,3.4635
US2Y,2025-10-20 12:30:00,3.4656
US2Y,2025-10-20 12:45:00,3.4656
US2Y,2025-10-20 13:00:00,3.4656
US2Y,2025-10-20 13:15:00,3.4656
US2Y,2025-10-20 13:30:00,3.4656
US2Y,2025-10-20 13:45:00,3.4656
US2Y,2025-10-20 14:00:00,3.4635
US2Y,2025-10-20 14:15:00,3.4635
US2Y,2025-10-20 14:30:00,3.4635
US2Y,2025-10-20 14:45:00,3.4635
US2Y,2025-10-20 15:00:00,3.4614
US2Y,2025-10-20 15:15:00,3.4635
US2Y,2025-10-20 15:30:00,3.4635
US2Y,2025-10-20 15:45:00,3.4573
US2Y,2025-10-21 09:30:00,3.4445
US2Y,2025-10-21 09:45:00,3.4383
US2Y,2025-10-21 10:00:00,3.4404
US2Y,2025-10-21 10:15:00,3.4445
US2Y,2025-10-21 10:30:00,3.4466
US2Y,2025-10-21 10:45:00,3.4466
US2Y,2025-10-21 11:00:00,3.4445
US2Y,2025-10-21 11:15:00,3.4445
US2Y,2025-10-21 11:30:00,3.4487
US2Y,2025-10-21 11:45:00,3.4509
US2Y,2025-10-21 12:00:00,3.4551
US2Y,2025-10-21 12:15:00,3.4551
US2Y,2025-10-21 12:30:00,3.4572
US2Y,2025-10-21 12:45:00,3.453
US2Y,2025-10-21 13:00:00,3.4551
US2Y,2025-10-21 13:15:00,3.4551
US2Y,2025-10-21 13:30:00,3.4551
US2Y,2025-10-21 13:45:00,3.4572
US2Y,2025-10-21 14:00:00,3.4551
US2Y,2025-10-21 14:15:00,3.4572
US2Y,2025-10-21 14:30:00,3.4572
US2Y,2025-10-21 14:45:00,3.4551
US2Y,2025-10-21 15:00:00,3.4551
US2Y,2025-10-21 15:15:00,3.453
US2Y,2025-10-21 15:30:00,3.453
US2Y,2025-10-21 15:45:00,3.453
US2Y,2025-10-22 09:30:00,3.4571
US2Y,2025-10-22 09:45:00,3.4634
US2Y,2025-10-22 10:00:00,3.4613
US2Y,2025-10-22 10:15:00,3.4613
US2Y,2025-10-22 10:30:00,3.4613
US2Y,2025-10-22 10:45:00,3.4613
US2Y,2025-10-22 11:00:00,3.4592
US2Y,2025-10-22 11:15:00,3.455
US2Y,2025-10-22 11:30:00,3.4592
US2Y,2025-10-22 11:45:00,3.4592
US2Y,2025-10-22 12:00:00,3.4613
US2Y,2025-10-22 12:15:00,3.4592
US2Y,2025-10-22 12:30:00,3.455
US2Y,2025-10-22 12:45:00,3.455
US2Y,2025-10-22 13:00:00,3.4508
US2Y,2025-10-22 13:15:00,3.4423
US2Y,2025-10-22 13:30:00,3.4402
US2Y,2025-10-22 13:45:00,3.4402
US2Y,2025-10-22 14:00:00,3.4402
US2Y,2025-10-22 14:15:00,3.4402
US2Y,2025-10-22 14:30:00,3.4423
US2Y,2025-10-22 14:45:00,3.4444
